"date","close","volume","open","high","low"
"2014/09/25","97.7400","68551440.0000","99.5300","99.6500","97.7000"
"2014/09/24","99.8400","35900600.0000","98.8700","99.8868","98.5400"
"2014/09/23","98.7800","33775540.0000","98.6700","99.2200","98.5800"
"2014/09/22","99.0500","48521990.0000","99.7400","99.7500","98.6200"
"2014/09/19","99.9800","46883820.0000","100.4600","100.5646","99.5800"
"2014/09/18","100.2800","30083550.0000","99.8300","100.2900","99.7300"
"2014/09/17","99.5300","37173710.0000","99.3700","100.0000","98.9300"
"2014/09/16","99.3800","38045780.0000","98.1600","99.5700","98.0500"
"2014/09/15","98.5200","32956490.0000","99.5900","99.6000","98.2150"
"2014/09/12","99.4800","30534040.0000","99.9000","99.9300","99.1700"
"2014/09/11","99.9900","28661150.0000","99.6500","100.0400","99.2400"
"2014/09/10","100.0700","31044020.0000","99.3800","100.1100","99.1000"
"2014/09/09","99.2500","36360060.0000","100.0600","100.4600","99.0645"
"2014/09/08","100.0800","25566240.0000","99.8900","100.3300","99.6200"
"2014/09/05","99.8900","30734680.0000","99.5800","99.9500","99.0300"
"2014/09/04","99.3900","24541740.0000","99.7300","100.2200","99.1400"
"2014/09/03","99.4800","25930130.0000","100.3200","100.3400","99.3000"
"2014/09/02","100.0700","18301360.0000","100.0400","100.1000","99.6601"
"2014/08/29","99.7800","17163860.0000","99.6500","99.9141","99.2701"
"2014/08/28","99.4100","23381160.0000","99.2000","99.5300","99.0800"
"2014/08/27","99.5200","15584340.0000","99.5300","99.6400","99.3100"
"2014/08/26","99.5000","20083790.0000","99.5300","99.6100","99.2700"
"2014/08/25","99.4000","24098640.0000","99.5200","99.6800","99.1600"
"2014/08/22","99.0500","24681690.0000","98.9400","99.2500","98.7200"
"2014/08/21","98.9000","19317680.0000","98.7600","98.9500","98.6000"
"2014/08/20","98.7000","23381000.0000","98.6100","98.9000","98.5300"
"2014/08/19","98.7000","21318160.0000","98.3800","98.7600","98.3200"
"2014/08/18","98.1500","38918640.0000","97.8900","98.2400","97.7700"
"2014/08/15","97.4000","55192800.0000","97.4600","97.6300","96.4800"
"2014/08/14","96.9300","24950750.0000","96.5400","96.9500","96.4300"
"2014/08/13","96.4300","27908060.0000","95.8100","96.4700","95.7600"
"2014/08/12","95.4200","28144860.0000","95.3800","95.6700","94.9300"
"2014/08/11","95.4600","28271040.0000","95.2500","95.7600","95.2000"
